Sentença	 Span_1 	 Span_2 
tomei duas loratadina p parar a coceira da garganta e ajudou afu só q agora eu to morrendo de sono .	loratadina	sono
karol vai salvar no nimesulida seloco mó dor do caraio .	nimesulida	dor
venlafaxina os efeitos colaterais q to tendo n to aguentando me da ansiedade d e vi que a retirada dele é muito dificil etc.	venlafaxina	ansiedade
preparei o café que eu sei que tu gosta sentei e esperei vc chegar já era noite e vc não apareceu morri de tanta cafeína e de tanta raiva .	cafeína	raiva
tomei um paracetamol e a dor de cabeça já era graças a deus .	paracetamol	dor de cabeça
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	dipirona	sono
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	dipirona	dor
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	novalgina	sono
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	novalgina	dor
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	ibuprofeno	sono
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	ibuprofeno	dor
venlafaxina vem lá a faxina o remedinho pra varrer a depressão com estilo compre já o seu .	venlafaxina	depressão
mano esse me deixa com gosto horrível na boca fora o enjôo pq ele é forte e to sem pantoprazol .	pantoprazol	enjôo
ainda descobri que tenho alergia a dipirona e o remédio pra febre que a médica passou não faz efeito .	dipirona	febre
ainda descobri que tenho alergia a dipirona e o remédio pra febre que a médica passou não faz efeito .	dipirona	alergia
dá raiva né da aqueles cinco minutos de lixar tudo vi no youtube gente passando óleo de rícino pra deixar a unha mais forte .	óleo de rícino	raiva
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	cafeína	dor de cabeça
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	cafeína	dor de cabeça
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	tylenol	dor de cabeça
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	tylenol	dor de cabeça
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	cafeína	dor de cabeça
cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .	cafeína	dor de cabeça
o dia todo com dor chego em casa tomo antiinflamatório e passa em 15 minutos te amo nimesulida .	nimesulida	dor
falta tão pouco pra viagem q cada célula do meu corpo só tem dopamina e se em poucos dias eu me transformarei na personificação da ansiedade .	dopamina	ansiedade
mãe compra o remédio com ibuprofeno pq com dipirona não passa a dor ta certo e ela trouxe o de dipirona .	dipirona	dor
mãe compra o remédio com ibuprofeno pq com dipirona não passa a dor ta certo e ela trouxe o de dipirona .	ibuprofeno	dor
mãe compra o remédio com ibuprofeno pq com dipirona não passa a dor ta certo e ela trouxe o de dipirona .	dipirona	dor
vou tomar meu captopril para não enfartar de tanta raiva hoje jogam de titulares wellington cesar e leandrinho .	captopril	raiva
inflamação causando dor antiinflamatórios ai ai causa dor de estomago não tenho omeprazol dor é minha sina .	omeprazol	dor
inflamação causando dor antiinflamatórios ai ai causa dor de estomago não tenho omeprazol dor é minha sina .	omeprazol	dor
inflamação causando dor antiinflamatórios ai ai causa dor de estomago não tenho omeprazol dor é minha sina .	omeprazol	dor
inflamação causando dor antiinflamatórios ai ai causa dor de estomago não tenho omeprazol dor é minha sina .	omeprazol	inflamação
alguém aí toma cloridrato de sertralina ouvi dizer que corta a fome e meu médico me receitou isso pra ansiedade amproblems .	sertralina	fome
alguém aí toma cloridrato de sertralina ouvi dizer que corta a fome e meu médico me receitou isso pra ansiedade amproblems .	sertralina	ansiedade
alguém aí toma cloridrato de sertralina ouvi dizer que corta a fome e meu médico me receitou isso pra ansiedade amproblems .	cloridrato	fome
alguém aí toma cloridrato de sertralina ouvi dizer que corta a fome e meu médico me receitou isso pra ansiedade amproblems .	cloridrato	ansiedade
ser magro não vacina contra nada aliás desnutrição tb é doença .	vacina	desnutrição
calor zinco bom ora ir pra buzios campos dos goytacazes https www instagram com p bnrnpolgb8c .	zinco	calor
que dor de cabeça do capeta em casa só tem dipirona e eu não to afim .	dipirona	dor de cabeça
a dor ainda n passou mas diminuiu tomei 3 omeprazol .	omeprazol	dor
aquela cólica nervosa que vc toma até morfina e não passa a dor .	morfina	dor
finalmente minha dor de cabeça passou só levou 12 horas pra isso só ibuprofeno é de deus não da pra viver sem .	ibuprofeno	dor de cabeça
zinco envenenamento morte súbita limbo purgatório capeta luna luna amor cerveja .	zinco	envenenamento
zinco envenenamento morte súbita limbo purgatório capeta luna luna amor cerveja .	zinco	morte súbita
esse ano bebi algumas 10 vezes por motivos de glicose fácil no rolê ou calor infernal foi um ano intenso e velho a vontade voltou absurdo .	glicose	calor
isso se chama ansiedade entao na vdd tem fluoxetina entre outros .	fluoxetina	ansiedade
meu pai me deu remédio com cafeína no lugar de remédio p dor de cabeça puta que pariu .	cafeína	dor de cabeça
se não fosse a cafeína eu estaria em coma agora .	cafeína	coma
tuliopb é uma hipoglos com benzocaína desculpa a emoção mas é muito amor colocava nas bolhas e a dor sumia .	benzocaína	dor
tuliopb é uma hipoglos com benzocaína desculpa a emoção mas é muito amor colocava nas bolhas e a dor sumia .	hipoglos	dor
acho que quando toda a cafeína sair do meu corpo eu entro em coma .	cafeína	coma
o drama da vida de quem tem febre no estômago e é alérgica a nimesulida .	nimesulida	febre
quero um gato mas minha irma tem glicose anal e alergia a esses amorzinhos trisde .	glicose	alergia
ultimamente to pior q grávida comendo bebendo e dormindo sentindo enjoo mal estar e glicose descontrolada .	glicose	enjoo
1000 mg de naproxeno pra enxaqueca e mais um punhado de notícia punk pra começar a semana tá lindo já acabou jessica .	naproxeno	enxaqueca
café todo comprimido de dor de cabeca contem cafeína .	cafeína	dor
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	fluoxetina	ansiedade
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	fluoxetina	sono
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	fluoxetina	sono
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	lexotan	ansiedade
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	lexotan	sono
fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .	lexotan	sono
e pra não sentir dor encho o rabo de lidocaína mesmo .	lidocaína	dor
entre as duas da tarde e agora tomei 4 comprimidos pra enxaqueca 1 naramig 2 ibuprofeno 1 que nem sei qualé e a dor só diminuiu .	ibuprofeno	enxaqueca
entre as duas da tarde e agora tomei 4 comprimidos pra enxaqueca 1 naramig 2 ibuprofeno 1 que nem sei qualé e a dor só diminuiu .	ibuprofeno	dor
entre as duas da tarde e agora tomei 4 comprimidos pra enxaqueca 1 naramig 2 ibuprofeno 1 que nem sei qualé e a dor só diminuiu .	naramig	enxaqueca
entre as duas da tarde e agora tomei 4 comprimidos pra enxaqueca 1 naramig 2 ibuprofeno 1 que nem sei qualé e a dor só diminuiu .	naramig	dor
exagerei na dose de vitamina d esse final de semana cara não aguento mais de dor nos meus queimados .	vitamina	dor
kayque ta com alergia a vacina .	vacina	alergia
o nimesulida já ta acabando e nada dessa dor de garganta sumir .	nimesulida	dor de garganta
pois o beijo diminui os níveis de imunoglobulina e anticorpo responsável pelos sintomas da alergia no sangue .	imunoglobulina	alergia
ta fala pra ela tomar dramim bromoprida que são bons pra enjoo chá de boldo as vezes funciona tbm .	bromoprida	enjoo
paracetamol faz bem pra dor de garganta só queria informar pois dessa eu não sabia .	paracetamol	dor de garganta
gostei de um vídeo youtube de horebmonte http youtu be epsyi96nxxu a medicina caseiro controlar depressão stress aumentar a glicose .	glicose	depressão
nessas telhas de zinco faz um calor ksbakajajaka eu ri de sábado .	zinco	calor
dipirona alergia .	dipirona	alergia
omeprazol não eu só quero algo que me faça sentir menos enjôo .	omeprazol	enjôo
acabei de descobrir da pior maneira possivel minha alergia a dipirona .	dipirona	alergia
comprei o minoxidil com uma dor no coração queria nunca mais precisar comprar essa bosta .	minoxidil	dor
a zoe faz muita glicose anal já to ficando com raiva já .	glicose	raiva
bom dia pra vcs que sentem dor com rinite coluna e nos quadris e tem mais de 84 anos como eu favor tomar dorflex e loratadina .	dorflex	dor
bom dia pra vcs que sentem dor com rinite coluna e nos quadris e tem mais de 84 anos como eu favor tomar dorflex e loratadina .	dorflex	rinite
bom dia pra vcs que sentem dor com rinite coluna e nos quadris e tem mais de 84 anos como eu favor tomar dorflex e loratadina .	loratadina	dor
bom dia pra vcs que sentem dor com rinite coluna e nos quadris e tem mais de 84 anos como eu favor tomar dorflex e loratadina .	loratadina	rinite
hoje eu acordei com dor de estomago maldita fluoxetina pq caralhos isso tem que fazer mal pro estomago vai se foder .	pro	dor
hoje eu acordei com dor de estomago maldita fluoxetina pq caralhos isso tem que fazer mal pro estomago vai se foder .	fluoxetina	dor
o que se pode tomar na azia omeprazol pantoprazol eno remédios para proteger o estomago da queimação e sua linda garganta .	pantoprazol	azia
o que se pode tomar na azia omeprazol pantoprazol eno remédios para proteger o estomago da queimação e sua linda garganta .	omeprazol	azia
cheguei no upa cheia de dor na cabeça e o fdp do médico achou que eu estava bêbada e me deu só soro e glicose .	glicose	dor
cheguei no upa cheia de dor na cabeça e o fdp do médico achou que eu estava bêbada e me deu só soro e glicose .	soro	dor
uma vez eu fiquei tão nervosa ansiedade a mil eu tomei 2 ritalina e disse que era dipirona pensa em um coração a mil e só pensava em morr .	ritalina	ansiedade
uma vez eu fiquei tão nervosa ansiedade a mil eu tomei 2 ritalina e disse que era dipirona pensa em um coração a mil e só pensava em morr .	dipirona	ansiedade
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	desidratação
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	diarreia
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	diarreia
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	desidratação
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	diarreia
zinco é importante aliado no tratamento de desidratação causada pela diarreia dr taiguara http www tfd consultoriomedico com news zinco e importante aliado no tratamento de desidrata c3 a7 c3 a3o causada pela diarreia waaxvukfj3k twitter .	zinco	diarreia
ana mianto só que fluoxetina só vende com receita e é indicado pra pacientes com ansiedade depressão e bulimia .	fluoxetina	depressão
ana mianto só que fluoxetina só vende com receita e é indicado pra pacientes com ansiedade depressão e bulimia .	fluoxetina	ansiedade
fui comprar óleo de ricino e óleo de côco pra passar no cabelo e ai que dor nos bolso .	óleo	dor
fui comprar óleo de ricino e óleo de côco pra passar no cabelo e ai que dor nos bolso .	óleo	dor
pessoa não pode fazer vacina da gripe por alergia e gasta 300 pilas na farmácia pq é inverno de manhã verão de tarde inverno glacial d noite .	vacina	gripe
pessoa não pode fazer vacina da gripe por alergia e gasta 300 pilas na farmácia pq é inverno de manhã verão de tarde inverno glacial d noite .	vacina	alergia
kkdhjkdhjk pior que sim eu li esses dias que quem tem crise de ansiedade ou eh ansioso n pode tomar nada q tenha cafeina .	cafeina	ansiedade
thaygarbone amg eu tomo por conta de ansiedade aí tem receita médica mas rivotril e fluoxetina são bons .	fluoxetina	ansiedade
thaygarbone amg eu tomo por conta de ansiedade aí tem receita médica mas rivotril e fluoxetina são bons .	rivotril	ansiedade
mas está calmo demais tem doping aí diazepam não foi pq causa confusão mental deve ter sido o propranolol mesmo .	propranolol	confusão
mas está calmo demais tem doping aí diazepam não foi pq causa confusão mental deve ter sido o propranolol mesmo .	diazepam	confusão
tomei um paracetamol e meu rosto ficou inchado descobrir que tenho alergia .	paracetamol	alergia
aquela crise de ansiedade criada pela cafeína .	cafeína	ansiedade
preciso de um analgésico bem forte se possível morfina pra essa dor passar .	morfina	dor
tava morrendo com dor no dente tomei nimesulida deu 10 min a dor passou grazadels nois q voa uhul .	nimesulida	dor
tava morrendo com dor no dente tomei nimesulida deu 10 min a dor passou grazadels nois q voa uhul .	nimesulida	dor
aaaa preguiça vão me mandar tomar omeprazol tô suave vão me mandar controlar a enxaqueca .	omeprazol	enxaqueca
gente pelo amor tá um calor miserávi e o povo ainda fica soltando fumaça da maldita nicotina na minha carinha vai lavar né .	nicotina	calor
mano eu odeio ter alergia a dipirona vai tomar no cu .	dipirona	alergia
amigas se vocês tem problema com acne nunca jamais nunca mesmo usem isotretinoina ou roacutan esse bicho destrói com a sua saúde .	roacutan	acne
radiquera kkkkkkkkkkkkkkkk qualquer problema de coma alcóolico lhes apresento glicose .	glicose	coma
sertralina nenhuma aguenta minha ansiedade maldito dia que descobri a diferença entre coreia do sul e do norte .	sertralina	ansiedade
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	alergia
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	ansiedade
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	gastrite
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	alergia
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	ansiedade
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	gastrite
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	alergia
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	ansiedade
mini kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	gastrite
quando to com muita dor e ainda não almocei tomo um comprimido de omeprazol primeiro é remédio pro estômago to indo amiga .	omeprazol	dor
quando to com muita dor e ainda não almocei tomo um comprimido de omeprazol primeiro é remédio pro estômago to indo amiga .	pro	dor
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	rivotril	dor de cabeça
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	rivotril	ansiedade
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	rivotril	enjoo
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	risperidona	dor de cabeça
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	risperidona	ansiedade
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	risperidona	enjoo
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	acido	dor de cabeça
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	acido	ansiedade
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	acido	enjoo
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	dramin	dor de cabeça
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	dramin	ansiedade
eu tive muita ansiedade ontem ai eu dei muito enjoo e dor de cabeça ai eu tomei dramin acido mefenamico rivotril e risperidona .	dramin	enjoo
ai vc ja tomou duas dipirona por causa da dor de cabeça mais o sono fala assim pra vc hj n vais dormi cedo n seu lazarento .	dipirona	dor de cabeça
ai vc ja tomou duas dipirona por causa da dor de cabeça mais o sono fala assim pra vc hj n vais dormi cedo n seu lazarento .	dipirona	sono
alguem aqui toma ou ja tomou fluoxetina e sabe se da tontura .	fluoxetina	tontura
finklao vc pode substituir a ansiedade por fluoxetina por exemplo .	fluoxetina	ansiedade
nunca se sabe quando é a alergia à benzocaína volta a aparecer https twitter com marcosjsramos status 771675527002206208 .	benzocaína	alergia
acabei de tomar uma dipirona espero que amenize a dor .	dipirona	dor
minha raiva passou eduarda fica me fazendo rir kkk acabou com o meu showzinho q ódio kkkk ainda bem q minha mãe vai fazer vitamina .	vitamina	raiva
pressão baixa por causa do calor glicose baixa não sei pq e meu tio ta internado .	glicose	calor
zinco no tratamento da acne http fb me 5lz6lwgev .	zinco	acne
to precisando de sibutramina de seila uns 60 mg pra minha ansiedade alguém tem .	sibutramina	ansiedade
e ainda disse que serve pra todas as dores crônicas mas não sempre só qnd tiver a dor e é melhor que dopamina pq eh natural .	dopamina	dor
que dor de cabeça e esse chiclete de nicotina ainda piorou .	nicotina	dor de cabeça
e o cara vai me dar omeprazol pra passar a dor tipo eu tomo isso em casa sabia querido e não faz mais efeito .	omeprazol	dor
isto também resulta de muita cafeína e não conseguir dormir por causa da ansiedade .	cafeína	ansiedade
o único remédio q nunca vou esquecer de tomar é omeprazol pq a dor no estômago n é de deus .	omeprazol	dor
depressão starter pack antidepressivo vitamina d omeprazol chá de camomila .	camomila	depressão
depressão starter pack antidepressivo vitamina d omeprazol chá de camomila .	omeprazol	depressão
depressão starter pack antidepressivo vitamina d omeprazol chá de camomila .	vitamina	depressão
vou entrar em coma de remédio jaja porra quem toma paracetamol e tramal e continua com dor misericórdia .	tramal	coma
vou entrar em coma de remédio jaja porra quem toma paracetamol e tramal e continua com dor misericórdia .	tramal	dor
vou entrar em coma de remédio jaja porra quem toma paracetamol e tramal e continua com dor misericórdia .	paracetamol	coma
vou entrar em coma de remédio jaja porra quem toma paracetamol e tramal e continua com dor misericórdia .	paracetamol	dor
aquele cheirinho agradavel de excesso de testosterona e suor num trem cheio da cptm curuzes https twitter com mpe001 status 795433099937058816 .	testosterona	suor
eu vivo a base de omeprazol e sinto dor msm assim .	omeprazol	dor
minha mãe só me deu a primeira vacina por isso vivo doente cheia de alergia tenho uns probleminhas mentais culpa da minha mãe .	vacina	alergia
jesus que dor é essa aijskmcla sdds omeprazol .	omeprazol	dor
pior que eu nem tomo café nem chá com cafeína acho que é estresse ou ansiedade .	cafeína	estresse
pior que eu nem tomo café nem chá com cafeína acho que é estresse ou ansiedade .	cafeína	ansiedade
estudo scale apneia do sono com n 359 70 homens 67 com apneia grave iah 49 mostra benefício de liraglutida http www nature com ijo journal vaop naam pdf ijo201652a pdf .	liraglutida	sono
mãe disse que era pra eu tomar ibuprofeno quando der febre aí não tem esse negocio aí não .	ibuprofeno	febre
se possível se tiver à mão toma uma colher de chá de bicarbonato de sódio dissolvida em meio copo d água e tchau azia .	bicarbonato de sódio	azia
tomei um aminofilina de 200g e dois aerolin e eu acho que estou perto da morte .	aminofilina	morte
tomei um aminofilina de 200g e dois aerolin e eu acho que estou perto da morte .	aerolin	morte
mas nimesulida é usado em sua maioria para inflamações de garganta e pelos idosos com suas inúmeras osteopatias e pra dor de dente https twitter com orabelo status 786897014982311936 .	nimesulida	dor de dente
paracetamol não adianta tem que ver um remédio pra dor forte .	paracetamol	dor
só qiem sofre mensalmente de inchaço nas amidalas sabe o poder de uma azitromicina e como é importante ter umas 2 caixas em casa sempre kkkk .	azitromicina	inchaço
bicarbonato de sódio tira manchas desentope a pia cura azia e ainda dá pra fazer simulação de vulcão .	bicarbonato de sódio	azia
eu to tentando parar de me entupir de dipirona mas aí bate essas dor de cabeça que não dá pra assistir não dá pra jogar nem dormir vai se fo .	dipirona	dor de cabeça
sempre que eu to com alguma dor mto forte eu fico pensando que nunca vai passar e nenhuma morfina no mundo vai acalmar ela .	morfina	dor
acho que eu tenho alergia de nimesulida tomei e fiquei muito inchada parece que levei um soco na boca e nos olhos .	nimesulida	alergia
vo tomar 1 ibuprofeno 600 mg e um paracetamol 700 mg p ve se a dor passa se eu nao morrer amanha eu entro e digo se eu morrer bom n entro .	ibuprofeno	dor
vo tomar 1 ibuprofeno 600 mg e um paracetamol 700 mg p ve se a dor passa se eu nao morrer amanha eu entro e digo se eu morrer bom n entro .	paracetamol	dor
queria dizer que ontem bateu ansiedade na karaoteca e quando tocou work eu esqueci que a ufpa existia work é similar a propranolol repassem .	propranolol	ansiedade
algum componente do creme deve tá te dando alergia eu descobri q tenho alergia a dipirona .	dipirona	alergia
algum componente do creme deve tá te dando alergia eu descobri q tenho alergia a dipirona .	dipirona	alergia
algum componente do creme deve tá te dando alergia eu descobri q tenho alergia a dipirona .	creme	alergia
algum componente do creme deve tá te dando alergia eu descobri q tenho alergia a dipirona .	creme	alergia
eu tenho ansiedade depressão e toc aí parece que a fluoxetina melhora a ansiedade e piora a depressão .	fluoxetina	depressão
eu tenho ansiedade depressão e toc aí parece que a fluoxetina melhora a ansiedade e piora a depressão .	fluoxetina	depressão
eu tenho ansiedade depressão e toc aí parece que a fluoxetina melhora a ansiedade e piora a depressão .	fluoxetina	ansiedade
eu tenho ansiedade depressão e toc aí parece que a fluoxetina melhora a ansiedade e piora a depressão .	fluoxetina	ansiedade
nesse calor só eu e você sob o edredom e uma telha de zinco .	zinco	calor
no remédio contra dor de cabeça já tem cafeína migo .	cafeína	dor de cabeça
acordei dor de cabeça calor da gota pós culto da iurd ninguém merece dipirona e ar em 17 graus graças a deus .	dipirona	calor
acordei dor de cabeça calor da gota pós culto da iurd ninguém merece dipirona e ar em 17 graus graças a deus .	dipirona	gota
acordei dor de cabeça calor da gota pós culto da iurd ninguém merece dipirona e ar em 17 graus graças a deus .	dipirona	dor de cabeça
o certo é tomar um anti inflamatorio nimesulida e etc se ainda ficar com dor toma um dipirona .	dipirona	dor
o certo é tomar um anti inflamatorio nimesulida e etc se ainda ficar com dor toma um dipirona .	anti	dor
o certo é tomar um anti inflamatorio nimesulida e etc se ainda ficar com dor toma um dipirona .	nimesulida	dor
toma bromoprida vai te fazer parar de sentir enjoo ou vomitar .	bromoprida	enjoo
isabeltiful só vi seu snap sobre a dor de cabeça agora uma dica de remédio normal pra dor de cabeça é naproxeno funciona super .	naproxeno	dor de cabeça
isabeltiful só vi seu snap sobre a dor de cabeça agora uma dica de remédio normal pra dor de cabeça é naproxeno funciona super .	naproxeno	dor de cabeça
cheguei a 38 4 de febre tomei o terceiro loratadina e 1dipirona apaguei mas acordei diversas vezes com falta de ar pensei que ia morrer .	loratadina	falta de ar
cheguei a 38 4 de febre tomei o terceiro loratadina e 1dipirona apaguei mas acordei diversas vezes com falta de ar pensei que ia morrer .	loratadina	febre
luaoreis tome 1cp de nimesulida a cada 8h vai aliviar a dor e a inflamação .	nimesulida	inflamação
luaoreis tome 1cp de nimesulida a cada 8h vai aliviar a dor e a inflamação .	nimesulida	dor
brian johnson trouxe a testosterona para a banda após a morte de bon scott a banda ficou ainda mais incrível que balanço e atitude .	testosterona	morte
modinha 2016 ter problemas de autoestima e depressão e ser intolerante a lactose e glúten já vamos fazer uma vacina galera .	vacina	depressão
nao achei a lidocaina acho q vou ter q aguentar essa dor do caralho .	lidocaina	dor
respondendo o questionário de bioquímica com mta maturidade pq a metionina é um aa essencial n sei nao qro saber e tenho raiva de qm sabe .	metionina	raiva
deve ser enxaqueca toma um dorflex ou nimesulida que ajuda .	dorflex	enxaqueca
deve ser enxaqueca toma um dorflex ou nimesulida que ajuda .	nimesulida	enxaqueca
tenho alergia a paracetamol possivelmente conseguiria .	paracetamol	alergia
eu dando conselho amoroso é tipo um cara com toc esquizofrenia depressão prescrevendo lítio fluoxetina e beta bloqueador hahahahahaha .	lítio	depressão
eu dando conselho amoroso é tipo um cara com toc esquizofrenia depressão prescrevendo lítio fluoxetina e beta bloqueador hahahahahaha .	fluoxetina	depressão
http www medportal com br blog blog lesao muscular induzida por estatinas isso é que sinto pelo uso da sinvastatina tem dias que chego a chorar de dor e tomo um analgésico .	sinvastatina	dor
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	torval	dor de cabeça
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	torval	ansiedade
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	torval	insônia
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	paracetamol	dor de cabeça
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	paracetamol	ansiedade
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	paracetamol	insônia
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	fluoxetina	dor de cabeça
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	fluoxetina	ansiedade
tomar torval com fluoxetina da dor de cabeça inclusive meu médico não sabia e me mandou os dois c. tomar um paracetamol e tentar dormir só tentar né passo a noite em claro devo tá ficando doida ou a ansiedade tá me dando insônia .	fluoxetina	insônia
essa fluoxetina tira a ansiedade mas da insonia .	fluoxetina	ansiedade
kefera com relação a esse problema de inchaço no lábio deve ser alergia à poluição polaramine ajuda ou loratadina bjo melhoras .	polaramine	inchaço
kefera com relação a esse problema de inchaço no lábio deve ser alergia à poluição polaramine ajuda ou loratadina bjo melhoras .	polaramine	alergia
kefera com relação a esse problema de inchaço no lábio deve ser alergia à poluição polaramine ajuda ou loratadina bjo melhoras .	loratadina	inchaço
kefera com relação a esse problema de inchaço no lábio deve ser alergia à poluição polaramine ajuda ou loratadina bjo melhoras .	loratadina	alergia
se tem um remédio que eh de deus é o omeprazol só ele me salva da minha azia e da minha dor de estômago .	omeprazol	dor
se tem um remédio que eh de deus é o omeprazol só ele me salva da minha azia e da minha dor de estômago .	omeprazol	azia
eu tenho transtorno de ansiedade e tomo 60 mg de fluoxetina e 50 mg de donaren tem tratamentos mais fortes .	fluoxetina	transtorno de ansiedade
